The following values were not passed to `accelerate launch` and had defaults used instead:
		More than one GPU was found, enabling multi-GPU training.
		If this was unintended please pass in `--num_processes=1`.
	`--num_machines` was set to a value of `1`
	`--mixed_precision` was set to a value of `'no'`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
2026-05-01 14:02:32,190 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,195 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,226 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,238 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,242 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,251 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,252 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,254 | INFO | train_vaccine | Loading user dataset from data/processed/ratio_10
2026-05-01 14:02:32,708 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,723 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,724 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,725 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,729 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,734 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,755 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,757 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,777 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,792 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,792 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,798 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,802 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,810 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,822 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,824 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-01 14:02:32,851 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,854 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,855 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,863 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,863 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,875 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,881 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,881 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-01 14:02:32,903 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,903 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,904 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,911 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,914 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,929 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,929 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:32,935 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-2-7b-chat-hf/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-01 14:02:33,135 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,160 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,167 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,168 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,171 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,180 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/PKU-Alignment/BeaverTails/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-05-01 14:02:33,180 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,181 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,183 | INFO | train_vaccine | Loading and preparing 1000 safe BeaverTails anchors
2026-05-01 14:02:33,189 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/PKU-Alignment/BeaverTails/8401fe609d288129cc684a9b3be6a93e41cfe678/README.md "HTTP/1.1 200 OK"
2026-05-01 14:02:33,206 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/datasets/PKU-Alignment/BeaverTails/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
